.model,date,.rep,patients,Specialty
combination,2023-10-01,3,2389.473262961319,Cardiology
combination,2023-11-01,3,2469.6044564977396,Cardiology
combination,2023-12-01,3,2472.4569671004683,Cardiology
combination,2024-01-01,3,2508.846113454425,Cardiology
combination,2024-02-01,3,2518.703732497909,Cardiology
combination,2024-03-01,3,2534.076373500859,Cardiology
combination,2024-04-01,3,2617.546961458577,Cardiology
combination,2024-05-01,3,2631.7780177058116,Cardiology
combination,2024-06-01,3,2689.1688716244103,Cardiology
combination,2024-07-01,3,2756.1973903106386,Cardiology
combination,2024-08-01,3,2753.249104090085,Cardiology
combination,2023-09-01,30,2233.0218050486355,Cardiology
combination,2023-10-01,30,2414.4734180271876,Cardiology
combination,2023-11-01,30,2475.05128915495,Cardiology
combination,2023-12-01,30,2493.4776558427875,Cardiology
combination,2024-01-01,30,2526.14883837468,Cardiology
combination,2024-02-01,30,2541.3387275530404,Cardiology
combination,2024-03-01,30,2547.1818196347076,Cardiology
combination,2024-04-01,30,2671.821586864533,Cardiology
combination,2024-05-01,30,2674.322796717394,Cardiology
combination,2024-06-01,30,2681.498757312415,Cardiology
combination,2024-07-01,30,2719.71796869243,Cardiology
combination,2024-08-01,30,2728.1698792124853,Cardiology
combination,2023-09-01,31,2297.5846303838184,Cardiology
combination,2023-10-01,31,2395.5343923387068,Cardiology
combination,2023-11-01,31,2449.3510303036537,Cardiology
combination,2023-12-01,31,2476.2306194700377,Cardiology
combination,2024-01-01,31,2492.642396970904,Cardiology
combination,2024-02-01,31,2527.9841286234378,Cardiology
combination,2024-03-01,31,2569.9684331351195,Cardiology
combination,2024-04-01,31,2636.1677223392953,Cardiology
combination,2024-05-01,31,2648.0519078092866,Cardiology
combination,2024-06-01,31,2661.3594624092552,Cardiology
combination,2024-07-01,31,2825.87966076379,Cardiology
combination,2024-08-01,31,2696.2797398279745,Cardiology
combination,2023-09-01,32,2262.3616708424092,Cardiology
combination,2023-10-01,32,2382.117395971168,Cardiology
combination,2023-11-01,32,2454.4990986747616,Cardiology
combination,2023-12-01,32,2490.7402111451247,Cardiology
combination,2024-01-01,32,2533.747571516733,Cardiology
combination,2024-02-01,32,2491.0988207436185,Cardiology
combination,2024-03-01,32,2554.367055208642,Cardiology
combination,2024-04-01,32,2576.950788424684,Cardiology
combination,2024-05-01,32,2573.171124560067,Cardiology
combination,2024-06-01,32,2588.5811092194763,Cardiology
combination,2024-07-01,32,2634.135228039141,Cardiology
combination,2024-08-01,32,2667.0439753162427,Cardiology
combination,2023-09-01,33,2290.037126412197,Cardiology
combination,2023-10-01,33,2361.668245086679,Cardiology
combination,2023-11-01,33,2435.164211101098,Cardiology
combination,2023-12-01,33,2397.2069654571333,Cardiology
combination,2024-01-01,33,2485.522007774676,Cardiology
combination,2024-02-01,33,2500.5796982329607,Cardiology
combination,2024-03-01,33,2549.9449594468624,Cardiology
combination,2024-04-01,33,2594.585913920602,Cardiology
combination,2024-05-01,33,2620.9416473342303,Cardiology
combination,2024-06-01,33,2651.6064041905497,Cardiology
combination,2024-07-01,33,2727.7962459448254,Cardiology
combination,2024-08-01,33,2743.7492691231646,Cardiology
combination,2023-09-01,34,2290.9362841086804,Cardiology
combination,2023-10-01,34,2367.6049982403265,Cardiology
combination,2023-11-01,34,2418.470794090912,Cardiology
combination,2023-12-01,34,2411.1350509483973,Cardiology
combination,2024-01-01,34,2472.828840123615,Cardiology
combination,2024-02-01,34,2555.5430261288266,Cardiology
combination,2024-03-01,34,2540.3734505129714,Cardiology
combination,2024-04-01,34,2569.2793310640704,Cardiology
combination,2024-05-01,34,2625.275823571501,Cardiology
combination,2024-06-01,34,2640.9197754037746,Cardiology
combination,2024-07-01,34,2750.3963137917517,Cardiology
combination,2024-08-01,34,2669.084857959894,Cardiology
combination,2023-09-01,35,2294.538591471608,Cardiology
combination,2023-10-01,35,2433.8574872746703,Cardiology
combination,2023-11-01,35,2519.470355850521,Cardiology
combination,2023-12-01,35,2527.1661577137465,Cardiology
combination,2024-01-01,35,2565.9929664871825,Cardiology
combination,2024-02-01,35,2515.9503566302847,Cardiology
combination,2024-03-01,35,2616.4899493253397,Cardiology
combination,2024-04-01,35,2693.9297306831118,Cardiology
combination,2024-05-01,35,2641.0745029894497,Cardiology
combination,2024-06-01,35,2791.448813574475,Cardiology
combination,2024-07-01,35,2853.667178356036,Cardiology
combination,2024-08-01,35,2916.980697002101,Cardiology
combination,2023-09-01,36,2280.406440092259,Cardiology
combination,2023-10-01,36,2327.175228331091,Cardiology
combination,2023-11-01,36,2413.222897699033,Cardiology
combination,2023-12-01,36,2398.743496823408,Cardiology
combination,2024-01-01,36,2478.7825875524895,Cardiology
combination,2024-02-01,36,2483.001177856931,Cardiology
combination,2024-03-01,36,2538.601608661026,Cardiology
combination,2024-04-01,36,2681.532396432118,Cardiology
combination,2024-05-01,36,2641.0698390295574,Cardiology
combination,2024-06-01,36,2646.8407869868033,Cardiology
combination,2024-07-01,36,2708.3000458605547,Cardiology
combination,2024-08-01,36,2680.2322823169175,Cardiology
combination,2023-09-01,37,2211.8249242526726,Cardiology
combination,2023-10-01,37,2290.125594357535,Cardiology
combination,2023-11-01,37,2363.3409905332146,Cardiology
